nom,ancien_id,nouvel_id,statut
"Ederson","416478","","introuvable"
"Edin Džeko","54405","","introuvable"
"Edouard Mendy","234434","","introuvable"
"Edson Álvarez","472592","","introuvable"
"Eduardo Camavinga","948376","","introuvable"
"Ehsan Hajsafi","194296","","introuvable"
"Eiji Kawashima","71491","","introuvable"
"Eldor Shomurodov","502208","","introuvable"
"Ellyes Skhiri","399349","","introuvable"
"Eloy Room","328254","","introuvable"
"Emiliano Martínez","148455","","introuvable"
"Endrick","1310371","","introuvable"
"Enner Valencia","193513","","introuvable"
"Enzo Fernández","875880","","introuvable"
"Eric Bailly","207543","","introuvable"
"Erling Haaland","876781","","introuvable"
"Ermedin Demirović","653444","","introuvable"
"Ethan Bristow","493271","","introuvable"
"Etienne Eto","602531","","introuvable"
"Exequiel Palacios","576516","","introuvable"
"Fabián Ruiz","561677","","introuvable"
"Fabian Schär","154712","","introuvable"
"Facundo Pellistri","896342","","introuvable"
"Facundo Torres","886783","","introuvable"
"Federico Valverde","775004","","introuvable"
"Félix Torres","565085","","introuvable"
"Ferdi Kadıoğlu","697694","","introuvable"
"Fernando Muslera","42090","","introuvable"
"Ferran Torres","656477","","introuvable"
"Firas Al-Buraikan","603867","","introuvable"
"Florian Grillitsch","330753","","introuvable"
"Florian Wirtz","855028","","introuvable"
"Fodé Ballo-Touré","499703","","introuvable"
"Folarin Balogun","897267","","introuvable"
"Francisco Conceição","1081779","","introuvable"
"Franck Kessié","273454","","introuvable"
"Frantzdy Pierrot","461338","","introuvable"
"Fredrik Aursnes","648073","","introuvable"
"Frenkie de Jong","512088","","introuvable"
"Gabriel Jesus","244898","","introuvable"
"Gabriel Magalhães","548702","","introuvable"
"Gabriel Martinelli","786026","","introuvable"
"Garry Rodrigues","219891","","introuvable"
"Gavi","947895","","introuvable"
"Georges Mikautadze","851124","","introuvable"
"Gerardo Arteaga","671034","","introuvable"
"Gernot Trauner","372541","","introuvable"
"Gerónimo Rulli","163560","","introuvable"
"Gerson","233162","","introuvable"
"Gilson Benchimol","412601","","introuvable"
"Giorgi Chakvetadze","590019","","introuvable"
"Giorgi Loria","132386","","introuvable"
"Giorgi Mamardashvili","769163","","introuvable"
"Giovani Lo Celso","283523","","introuvable"
"Gonçalo Ramos","980895","","introuvable"
"Gonzalo Montiel","360958","","introuvable"
"Gonzalo Plata","714812","","introuvable"
"Granit Xhaka","90845","","introuvable"
"Grant Hanley","127699","","introuvable"
"Gregor Kobel","633250","","introuvable"
"Grzegorz Krychowiak","82990","","introuvable"
"Guillermo Ochoa","89390","","introuvable"
"Guram Kashia","145027","","introuvable"
"Gustavo Alfaro","186043","","introuvable"
"Gustavo Gómez","214087","","introuvable"
"Hakan Çalhanoğlu","142291","","introuvable"
"Hakim Ziyech","193473","","introuvable"
"Haris Hajradinović","420620","","introuvable"
"Harry Kane","177282","","introuvable"
"Harry Maguire","177907","","introuvable"
"Harry Souttar","696513","","introuvable"
"Hassan Al-Haydos","237880","","introuvable"
"Héctor Herrera","122949","","introuvable"
"Henry Martín","296459","","introuvable"
"Hernán Galíndez","298513","","introuvable"
"Hidemasa Morita","579988","","introuvable"
"Hirving Lozano","404843","","introuvable"
"Hwang Hee-chan","637903","","introuvable"
"Ibrahima Konaté","734655","","introuvable"
"Idrissa Gueye","132559","","introuvable"
"Ilias Chair","495213","","introuvable"
"Ilkay Gündogan","93494","","introuvable"
"Inaki Williams","363467","","introuvable"
"Islam Slimani","90572","","introuvable"
"Ismaël Koné","1017034","","introuvable"
"Ismaïla Sarr","492038","","introuvable"
"Ivan Perišić","87450","","introuvable"
"Ivica Ivušić","540614","","introuvable"
"Jacob Shaffelburg","817620","","introuvable"
"Jalal Hassan","397680","","introuvable"
"Jamal Musiala","958823","","introuvable"
"James Rodríguez","103614","","introuvable"
"Jamiro Monteiro","358090","","introuvable"
"Jan Bednarek","367381","","introuvable"
"Jan Oblak","160319","","introuvable"
"Jan Vertonghen","38185","","introuvable"
"Javokhir Sidiqov","620431","","introuvable"
"Jean-Philippe Krasso","441773","","introuvable"
"Jeremy Doku","959908","","introuvable"
"Jhon Córdoba","362100","","introuvable"
"Jhon Jáder Durán","1100855","","introuvable"
"Jiří Pavlenka","270982","","introuvable"
"João Cancelo","201460","","introuvable"
"João Neves","1264882","","introuvable"
"Joe Wollacott","568038","","introuvable"
"Joël Kiassumbua","372461","","introuvable"
"Johan Bakayoko","986960","","introuvable"
"Johan Mojica","311461","","introuvable"
"John Stones","197665","","introuvable"
"Jonathan David","700041","","introuvable"
"Jonathan Osorio","254196","","introuvable"
"Jonathan Tah","450590","","introuvable"
"Jordan Ayew","173280","","introuvable"
"Jordan Pickford","174820","","introuvable"
"Jorge Sánchez","575390","","introuvable"
"José María Giménez","258428","","introuvable"
"José Sá","88624","","introuvable"
"Joshua Kimmich","314887","","introuvable"
"Josip Šutalo","780820","","introuvable"
"Joško Gvardiol","700997","","introuvable"
"Josue Duverger","516438","","introuvable"
"Jude Bellingham","624916","","introuvable"
"Jules Koundé","617883","","introuvable"
"Julián Álvarez","931178","","introuvable"
"Julio Enciso","1003682","","introuvable"
"Jung Woo-young","276491","","introuvable"
"Junya Itō","527832","","introuvable"
"Jurgen Locadia","258248","","introuvable"
"Jurien Gaari","466832","","introuvable"
"Jusuf Gazibegović","534760","","introuvable"
"Kaan Ayhan","209291","","introuvable"
"Kai Havertz","580498","","introuvable"
"Kalidou Koulibaly","152596","","introuvable"
"Kaoru Mitoma","850782","","introuvable"
"Karlo Bartolec","508361","","introuvable"
"Karol Świderski","504290","","introuvable"
"Kendry Páez","1268943","","introuvable"
"Kenny Rocha","252743","","introuvable"
"Kerem Aktürkoğlu","645634","","introuvable"
"Kevin De Bruyne","88755","","introuvable"
"Kevin Lafrance","344680","","introuvable"
"Khephren Thuram","942166","","introuvable"
"Khurshid Makhmudov","560234","","introuvable"
"Khvicha Kvaratskhelia","824803","","introuvable"
"Kieran Tierney","316669","","introuvable"
"Kieran Trippier","180684","","introuvable"
"Kim Min-jae","582901","","introuvable"
"Kim Seung-gyu","200826","","introuvable"
"Kim Young-gwon","87344","","introuvable"
"Kingsley Coman","243714","","introuvable"
"Ko Itakura","750012","","introuvable"
"Kobbie Mainoo","1300321","","introuvable"
"Kristian Thorstvedt","875891","","introuvable"
"Kylian Mbappé","341832","","introuvable"
"Lamine Camara","1111880","","introuvable"
"Lamine Yamal","1101648","","introuvable"
"Lasha Dvali","378406","","introuvable"
"Lautaro Martínez","579769","","introuvable"
"Lawrence Ati Zigi","588898","","introuvable"
"Lawrence Shankland","378477","","introuvable"
"Leandro Bacuna","298413","","introuvable"
